prefix,count,example_id,example_name,domain
CME,43,CME,Child Mortality,Child Mortality
CME,43,CME_CAUSE_OF_DEATH,CME Cause of death,Child Mortality
CME,43,CME_COUNTRY_PROFILES_DATA,CME Country profiles data,Child Mortality
PT,8,PT,Child Protection,Child Protection
PT,8,PT_CM,Child Marriage,Child Protection
PT,8,PT_CM_SUBNATIONAL,Child Marriage - Subnational,Child Protection
SDG,8,SDG_PROG_ASSESSMENT,SDG Progress assessment,Sustainable development goals
SDG,8,SDG_CONSULT_2020_1,SDG consultation 2020,Sustainable development goals
SDG,8,SDG_CONSULT_2021,SDG Consultation 2021,Sustainable development goals
CRAVE,6,CRAVE_2020_1,CRAVE Consultation 2020,Country Reporting and Validation Exercise
CRAVE,6,CRAVE_2021,Crave Consultation 2021,Country Reporting and Validation Exercise
CRAVE,6,CRAVE_2022,Crave Consultation 2022,Country Reporting and Validation Exercise
CCRI,5,CCRI,Children's  Climate and Environment Risk Index,Children's  Climate and Environment Risk Index
CCRI,5,CCRI_DRM_KHM,Children's  Climate and Environment Risk Index,Children's  Climate and Environment Risk Index
CCRI,5,CCRI_DRM_KHM_RAW,Children's  Climate and Environment Risk Index,Children's  Climate and Environment Risk Index
WASH,5,WASH_HEALTHCARE_FACILITY,WASH Healthcare Facility,"Water, Sanitation, and Hygiene"
WASH,5,WASH_HOUSEHOLDS,WASH Households,"Water, Sanitation, and Hygiene"
WASH,5,WASH_HOUSEHOLD_MH,WASH Household Menstrual Health,"Water, Sanitation, and Hygiene"
DF,4,DF_EAPRO_CROSS_SECTOR,EAPRO Cross Sector Indicators,East Asia Pacific Regional Office
DF,4,DF_SDG_GLH,SDG Harmonized Global Dataflow,Sustainable development goals
DF,4,DF_SITREP_COVID19,UNICEF Situation Reports for COVID19,COVID
EDUCATION,3,EDUCATION,EDU - Access and Completion (HH Survey Data),Education
EDUCATION,3,EDUCATION_FLS,EDU - Learning and Skills,Education
EDUCATION,3,EDUCATION_UIS_SDG,EDU - SDG Indicators (UIS Database),Education
BRAZIL,2,BRAZIL_CO,Brazil Country Office,Brazil Country Office
BRAZIL,2,BRAZIL_CO_SELO,Brazil SELO,Brazil Country Office
MALAWI,2,MALAWI_CO,Malawi Country Office,Malawi Country Office
MALAWI,2,MALAWI_CO_DRAFT,[DRAFT] Malawi CO,Malawi Country Office
COVID,2,COVID,COVID-19 Baseline Indicators April 2020,COVID
COVID,2,COVID_CASES,Covid cases and deaths,COVID
DM,2,DM,Demography,Demography
DM,2,DM_PROJECTIONS,Projection Demography,Demography
